Experiment,Query_ID,State,Latency (s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,L3 Disk Cache (MB),RAM (GB),Prompt Preview
2. Shared Docs (RAG),33,Warm,0.6808,2604.11,0.388,1753,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),34,Warm,0.9014,1962.49,0.515,1749,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),35,Warm,0.8511,2069.14,0.489,1741,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),36,Warm,0.8267,2139.82,0.473,1749,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),37,Warm,0.752,2341.89,0.432,1741,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),38,Warm,0.6928,2551.94,0.396,1748,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),39,Warm,0.7443,2373.99,0.426,1747,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),40,Warm,0.7182,2457.66,0.412,1745,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),41,Warm,0.662,2670.6,0.379,1748,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),42,Warm,0.6849,2584.17,0.391,1750,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),43,Warm,0.7149,2473.22,0.409,1748,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),44,Warm,0.7567,2341.73,0.432,1752,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),45,Warm,0.8346,2113.58,0.479,1744,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),46,Warm,0.9632,1834.42,0.551,1747,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),47,Warm,0.6471,2733.91,0.37,1749,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),48,Warm,0.6071,2923.92,0.346,1755,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),49,Warm,0.7603,2321.57,0.436,1745,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),50,Warm,0.7502,2367.35,0.427,1756,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
3. No Context (Random),1,Cold,0.7879,34.27,112.562,7,20,0.0,0.92,Who is the founder of Microsoft?…
3. No Context (Random),2,Cold,0.5892,47.52,73.647,8,20,0.0,0.92,What is the chemical symbol for sodium?…
3. No Context (Random),3,Cold,0.5869,51.12,58.685,10,20,0.0,0.92,How many players are there in a baseball team?…
3. No Context (Random),4,Cold,0.7815,35.83,97.694,8,20,0.0,0.92,What year did World War II end?…
3. No Context (Random),5,Cold,1.6751,16.72,209.39,8,20,0.0,0.92,What is the tallest species of tree?…
3. No Context (Random),6,Cold,1.3434,19.35,223.897,6,20,0.0,0.92,Who wrote The Divine Comedy?…
3. No Context (Random),7,Cold,1.0241,26.37,146.296,7,20,0.0,0.92,What is the hardest rock type?…
3. No Context (Random),8,Cold,0.6129,45.68,76.618,8,20,0.0,0.92,How many hearts does a squid have?…
3. No Context (Random),9,Cold,1.1226,26.72,112.261,10,20,0.0,0.92,What is the main ingredient in guacamole?…
3. No Context (Random),10,Cold,1.0283,26.26,146.895,7,20,0.0,0.92,Who developed the polio vaccine?…
3. No Context (Random),11,Cold,1.1199,25.0,139.991,8,20,0.0,0.92,What is the longest-running Broadway show?…
3. No Context (Random),12,Cold,1.2584,23.04,139.825,9,20,0.0,0.92,What is the square of 25?…
3. No Context (Random),13,Cold,1.2152,25.51,110.472,11,20,0.0,0.92,Who was the first woman to win a Nobel Prize?…
3. No Context (Random),14,Cold,0.6057,44.57,86.532,7,20,0.0,0.92,What is the currency of Brazil?…
3. No Context (Random),15,Cold,0.5412,53.59,60.129,9,20,0.0,0.92,What gas do plants absorb during photosynthesis?…
3. No Context (Random),16,Cold,0.5593,48.28,79.893,7,20,0.0,0.92,Who directed the movie Jaws?…
3. No Context (Random),17,Cold,0.5052,61.36,45.931,11,20,0.0,0.92,What is the largest internal organ in the human body?…
3. No Context (Random),18,Cold,0.5777,50.2,64.191,9,20,0.0,0.92,How many elements are in the periodic table?…
3. No Context (Random),19,Cold,0.5972,50.24,59.718,10,20,0.0,0.92,What is the freezing point of mercury in Celsius?…
3. No Context (Random),20,Cold,0.5155,52.38,73.64,7,20,0.0,0.92,Who painted The School of Athens?…
3. No Context (Random),21,Cold,0.5251,53.33,65.635,8,20,0.0,0.92,What is the smallest unit of life?…
3. No Context (Random),22,Cold,0.5342,54.29,59.355,9,20,0.0,0.92,How many time zones are there in Russia?…
3. No Context (Random),23,Cold,0.5671,51.14,63.007,9,20,0.0,0.92,What is the main language spoken in Argentina?…
3. No Context (Random),24,Cold,0.5673,45.83,94.545,6,20,0.0,0.92,Who invented the diesel engine?…
3. No Context (Random),25,Cold,0.5164,56.15,57.382,9,20,0.0,0.92,What is the diameter of Earth in kilometers?…
3. No Context (Random),26,Cold,0.4987,56.15,62.334,8,20,0.0,0.92,What is the rarest blood type?…
3. No Context (Random),27,Cold,0.6085,44.37,86.931,7,20,0.0,0.92,Who composed The Magic Flute?…
3. No Context (Random),28,Cold,0.5586,50.12,69.829,8,20,0.0,0.92,What is the powerhouse of a computer?…
3. No Context (Random),29,Cold,0.5343,58.02,48.572,11,20,0.0,0.92,How many sides does a dodecagon have?…
3. No Context (Random),30,Cold,0.4718,61.47,52.421,9,20,0.0,0.92,What is the largest species of penguin?…
3. No Context (Random),31,Cold,0.5215,49.86,86.917,6,20,0.0,0.92,Who discovered the planet Neptune?…
3. No Context (Random),32,Cold,0.6108,49.12,61.076,10,20,0.0,0.92,What is the boiling point of nitrogen in Celsius?…
3. No Context (Random),33,Cold,0.6996,41.45,77.736,9,20,0.0,0.92,What is the fastest bird in a dive?…
3. No Context (Random),34,Cold,1.0235,28.33,113.723,9,20,0.0,0.92,Who wrote The Brothers Karamazov?…
3. No Context (Random),35,Cold,0.8864,33.85,88.639,10,20,0.0,0.92,What is the largest artery in the human body?…
3. No Context (Random),36,Cold,1.33,22.56,133.001,10,20,0.0,0.92,How many keys are on a standard computer keyboard?…
3. No Context (Random),37,Cold,0.7723,36.25,96.539,8,20,0.0,0.92,What is the smallest country by population?…
3. No Context (Random),38,Cold,0.8781,28.47,175.618,5,20,0.0,0.92,Who invented the telescope?…
3. No Context (Random),39,Cold,1.1294,25.68,125.491,9,20,0.0,0.92,What is the main component of natural gas?…
3. No Context (Random),40,Cold,1.5952,19.43,145.016,11,20,0.0,0.92,How many amendments are in the U.S. Constitution?…
3. No Context (Random),41,Cold,1.4765,19.64,164.05,9,20,0.0,0.92,What is the deepest lake in the world?…
3. No Context (Random),42,Cold,0.8055,34.76,100.684,8,20,0.0,0.92,Who was the first emperor of China?…
3. No Context (Random),43,Cold,0.5908,47.4,73.844,8,20,0.0,0.92,What is the currency of South Africa?…
3. No Context (Random),44,Cold,0.7147,40.58,79.406,9,20,0.0,0.92,What is the longest bone in the arm?…
3. No Context (Random),45,Cold,0.6666,40.5,95.234,7,20,0.0,0.92,Who discovered the circulation of blood?…
3. No Context (Random),46,Cold,0.7493,38.7,83.26,9,20,0.0,0.92,What is the primary ingredient in hummus?…
3. No Context (Random),47,Cold,0.7177,37.62,102.527,7,20,0.0,0.92,How many moons does Mars have?…
3. No Context (Random),48,Cold,0.7087,39.51,88.584,8,20,0.0,0.92,What is the largest species of cat?…
3. No Context (Random),49,Cold,0.59,49.15,65.559,9,20,0.0,0.92,Who wrote The Picture of Dorian Gray?…
3. No Context (Random),50,Cold,0.5324,52.6,66.544,8,20,0.0,0.92,What is the chemical formula for methane?…
4. Multi-Turn Chat,1,Cold,0.5805,146.42,8.931,65,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,2,Warm,0.5966,187.74,6.484,92,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,3,Warm,0.913,156.63,7.423,123,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,4,Warm,0.761,215.5,5.285,144,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,5,Warm,0.641,307.32,3.622,177,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,6,Warm,0.8568,256.77,4.284,200,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,7,Warm,0.8134,302.45,3.599,226,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,8,Warm,1.0222,270.01,3.993,256,20,3.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,9,Warm,1.0359,287.66,3.726,278,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,10,Warm,0.7671,422.35,2.523,304,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,11,Warm,0.7077,497.37,2.132,332,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,12,Warm,0.7653,500.43,2.108,363,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,13,Warm,0.7962,512.41,2.052,388,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,14,Warm,0.7166,609.81,1.719,417,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,15,Warm,0.7446,621.77,1.681,443,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,16,Warm,0.8003,614.77,1.696,472,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,17,Warm,0.9241,571.36,1.819,508,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,18,Warm,0.8987,616.45,1.683,534,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,19,Warm,0.6296,916.43,1.13,557,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,20,Warm,1.1352,534.71,1.934,587,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,21,Warm,1.1872,533.17,1.937,613,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,22,Warm,0.8563,773.06,1.334,642,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,23,Warm,1.099,626.02,1.645,668,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,24,Warm,0.941,755.56,1.362,691,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,25,Warm,0.8171,908.14,1.132,722,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,26,Warm,0.8182,938.63,1.094,748,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,27,Warm,0.8913,892.0,1.15,775,20,12.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,28,Warm,1.0223,804.06,1.275,802,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,29,Warm,0.892,954.06,1.073,831,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,30,Warm,0.8918,983.39,1.041,857,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,31,Warm,0.7659,1180.33,0.866,884,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,32,Warm,0.7319,1277.45,0.8,915,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,33,Warm,0.7718,1254.14,0.814,948,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,34,Warm,0.7095,1399.5,0.729,973,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,35,Warm,0.6668,1528.25,0.667,999,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,36,Warm,1.1148,943.67,1.08,1032,20,18.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,37,Warm,1.1585,932.27,1.093,1060,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,38,Warm,0.8981,1232.62,0.826,1087,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,39,Warm,0.8854,1277.32,0.797,1111,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,40,Warm,0.9302,1250.29,0.814,1143,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,41,Warm,0.9031,1322.14,0.769,1174,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,42,Warm,0.8992,1358.94,0.748,1202,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,43,Warm,0.8741,1426.54,0.712,1227,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,44,Warm,0.7911,1625.51,0.625,1266,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
