Strategy,Query_ID,Latency (s),TTFT (s),Throughput (tok/s),Generation Speed (tok/s),Cost (ms/token),Input Tokens,Output Tokens,GPU KV Usage (%),GPU Blocks,Prompt Preview
GPU VRAM Only,17,0.8261,0.7372,225.16,24.21,4.976,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,18,1.0879,0.969,168.22,18.38,6.674,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,19,0.3509,0.314,541.42,56.99,2.064,170,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,20,0.323,0.2877,566.51,61.91,1.982,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,21,0.7387,0.6597,253.15,27.07,4.423,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,22,0.9751,0.8702,190.76,20.51,5.874,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,23,0.633,0.5667,301.75,31.6,3.702,171,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,24,0.3787,0.3378,488.48,52.81,2.295,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,25,0.3774,0.3377,503.43,52.99,2.22,170,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,26,0.3247,0.2896,569.7,61.59,1.968,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,27,0.9536,0.8521,197.15,20.97,5.676,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,28,1.1428,1.0244,168.88,17.5,6.606,173,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,29,0.8287,0.7401,225.65,24.13,4.962,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,30,0.4453,0.3975,417.66,44.91,2.683,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,31,0.5102,0.4553,364.57,39.2,3.073,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,32,0.394,0.3512,467.02,50.76,2.402,164,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,33,0.3779,0.3383,505.4,52.92,2.21,171,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,34,0.4827,0.43,379.09,41.43,2.962,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,35,0.7824,0.6991,240.29,25.56,4.657,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,36,0.5653,0.5049,330.78,35.38,3.385,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,37,0.4082,0.3645,458.16,49.0,2.444,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,38,0.3855,0.3447,490.24,51.88,2.281,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,39,0.3894,0.3482,485.3,51.35,2.304,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,40,0.3707,0.3307,499.0,53.95,2.247,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,41,0.8086,0.7231,233.73,24.73,4.785,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,42,1.356,1.2109,137.91,14.75,8.119,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,43,0.9631,0.8611,196.25,20.77,5.699,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,44,0.5604,0.5004,333.7,35.69,3.356,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,45,0.3752,0.3357,506.46,53.31,2.207,170,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,46,0.3715,0.3318,503.35,53.83,2.225,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,47,0.38,0.3405,505.2,52.63,2.21,172,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,48,0.5106,0.4563,368.22,39.17,3.039,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,49,0.8227,0.7347,227.29,24.31,4.927,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
GPU VRAM Only,50,1.3454,1.1991,136.77,14.87,8.203,164,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),1,0.3511,0.3127,521.21,56.96,2.154,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),2,0.7823,0.6968,233.93,25.57,4.799,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),3,1.1163,0.9943,163.93,17.92,6.849,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),4,0.6053,0.5405,308.95,33.04,3.624,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),5,0.333,0.2976,564.53,60.06,1.982,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),6,0.6603,0.5889,280.16,30.29,4.002,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),7,0.9207,0.8263,211.79,21.72,5.261,175,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),8,0.5352,0.4779,349.41,37.37,3.205,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),9,0.7254,0.6495,263.3,27.57,4.242,171,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),10,1.2257,1.0953,153.38,16.32,7.296,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),11,0.306,0.2736,617.66,65.36,1.811,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),12,0.762,0.6805,245.4,26.25,4.563,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),13,0.9521,0.8508,197.45,21.01,5.667,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),14,0.4687,0.4177,392.61,42.67,2.858,164,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),15,0.7377,0.6592,254.84,27.11,4.391,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),16,1.2193,1.0875,151.73,16.4,7.39,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),17,0.3183,0.284,584.44,62.84,1.917,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),18,0.5966,0.5314,306.76,33.53,3.66,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),19,0.7194,0.6437,264.1,27.8,4.232,170,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),20,0.5602,0.499,326.67,35.7,3.437,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),21,0.3251,0.2904,575.12,61.51,1.947,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),22,0.4521,0.4035,411.44,44.24,2.723,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),23,0.5156,0.4616,370.41,38.79,3.015,171,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),24,0.6202,0.5532,298.28,32.25,3.759,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),25,0.9743,0.8718,195.0,20.53,5.731,170,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),26,0.5813,0.5184,318.26,34.41,3.523,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),27,0.4193,0.3747,448.34,47.7,2.496,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),28,0.4495,0.4029,429.34,44.49,2.598,173,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),29,0.428,0.3822,436.9,46.73,2.563,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),30,0.422,0.3766,440.81,47.4,2.542,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),31,0.4415,0.394,421.33,45.3,2.659,166,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),32,0.7123,0.6349,258.32,28.08,4.343,164,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),33,0.6145,0.5502,310.8,32.54,3.594,171,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),34,0.633,0.5638,289.12,31.6,3.883,163,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),35,0.4104,0.3667,458.1,48.73,2.443,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),36,0.3999,0.3571,467.6,50.01,2.395,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),37,0.3853,0.3441,485.32,51.91,2.307,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),38,0.3681,0.3292,513.4,54.33,2.178,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),39,0.3589,0.321,526.54,55.72,2.124,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),40,0.881,0.7857,209.99,22.7,5.339,165,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),41,1.2031,1.0758,157.09,16.62,7.119,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),42,0.9547,0.8526,195.87,20.95,5.717,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),43,0.5072,0.4535,372.65,39.43,3.001,169,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),44,0.4731,0.4225,395.28,42.28,2.833,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),45,0.3904,0.3493,486.71,51.23,2.296,170,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),46,0.3834,0.3424,487.69,52.16,2.296,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),47,0.8406,0.7531,228.4,23.79,4.887,172,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),48,1.3106,1.1712,143.44,15.26,7.801,168,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),49,0.85,0.7591,219.99,23.53,5.09,167,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
LMCache (Full),50,0.4863,0.4334,378.37,41.13,2.965,164,20,,256,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
